name_,name_category,name_category_url,name_level,name_serves,name_pretime,name_img,name_description,name_ingredients,name_howtodo,name_tag1,name_tag2,name_tag3
Tofu and cauliflower curry,Vegetarian curry recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-curry-recipes/,Easy,Serves 4,"Hands-on time 10 min, simmering time 15 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/curry-768x960.jpg,"Try this vegan tofu and cauliflower curry, made with mango purée for an extra fruity punch. It you__e not cooking for vegans, swap the tofu for prawns instead.","1 tbsp sunflower oil
400g tofu, sliced into 2cm cubes
6 tbsp red Thai curry paste
2 bruised lemongrass sticks
1 cauliflower, separated into florets plus reserved cauliflower leaves
450g tin of mango pulp
400ml light coconut milk
150g frozen peas
Coconut yogurt and large handful of fresh coriander leaves, to serve","1 tbsp sunflower oil
400g tofu, sliced into 2cm cubes
6 tbsp red Thai curry paste
2 bruised lemongrass sticks
1 cauliflower, separated into florets plus reserved cauliflower leaves
450g tin of mango pulp
400ml light coconut milk
150g frozen peas
Coconut yogurt and large handful of fresh coriander leaves, to serve",Dairy-free recipes,Vegan recipes,
Mango overnight oats,Healthy breakfast recipes,https://www.deliciousmagazine.co.uk/collections/healthy-breakfast-recipes/,Easy,Serves 6,"Hands-on time 15 min, plus overnight soaking",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/porridge-768x960.jpg,These vegan overnight oats use a tin of mango purée for an intensely fruity flavour _ it__ something a little bit different to tuck in to in the morning. Top with a mix of nuts and seeds for extra crunch and fibre.,"300g jumbo rolled oats
275ml dairy-free milk (we used oat)
450g tin of mango pulp
1 large apple, grated
200g dairy-free yogurt (we used coconut)
Passion fruit seeds and the pulp, toasted chopped pistachios, pomegranate seeds, mixed seeds, to serve","300g jumbo rolled oats
275ml dairy-free milk (we used oat)
450g tin of mango pulp
1 large apple, grated
200g dairy-free yogurt (we used coconut)
Passion fruit seeds and the pulp, toasted chopped pistachios, pomegranate seeds, mixed seeds, to serve",Dairy-free recipes,Vegan recipes,
Chilli tofu veg __oodles_,Healthy lunch recipes,https://www.deliciousmagazine.co.uk/collections/healthy-lunch-recipes/,Easy,,,,,,,,,
"Black rice paella with artichokes, peppers and spinach",Vegetarian main courses,https://www.deliciousmagazine.co.uk/collections/vegetarian-main-courses/,Medium,,,,,,,,,
Summer garden soup,July seasonal food,https://www.deliciousmagazine.co.uk/collections/july-seasonal-food/,Easy,,,,,,,,,
Ful medames,Vegetarian starter recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-starter-recipes/,Easy,,,,,,,,,
Vegan coconut and mango pavlova,Meringue recipes,https://www.deliciousmagazine.co.uk/collections/meringue-recipes/,Medium,,,,,,,,,
Lighter caponata,Healthy makeover recipes,https://www.deliciousmagazine.co.uk/collections/healthy-makeover-recipes/,Easy,,,,,,,,,
Spicy potato and cauliflower burger,Vegetarian burger recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-burger-recipes/,Easy,,,,,,,,,
Black rice super salad,Healthy lunch recipes,https://www.deliciousmagazine.co.uk/collections/healthy-lunch-recipes/,Easy,,,,,,,,,
Bang bang tofu salad,Healthy lunch recipes,https://www.deliciousmagazine.co.uk/collections/healthy-lunch-recipes/,Easy,,,,,,,,,
Vegetable gyoza dumpling stir-fry,Delicious recipes for 1 person,https://www.deliciousmagazine.co.uk/collections/delicious-recipes-for-1-person/,Easy,,,,,,,,,
"Smoky orange, roasted tomato and olive pappardelle",Quick pasta recipes,https://www.deliciousmagazine.co.uk/collections/quick-pasta-recipes/,Easy,,,,,,,,,
Satay french toast with avocado,Brunch recipes,https://www.deliciousmagazine.co.uk/collections/brunch-recipes/,Easy,,,,,,,,,
"Aubergine, tomato and chickpea traybake",Traybake recipes,https://www.deliciousmagazine.co.uk/collections/tray-bake-recipes/,Easy,,,,,,,,,
Perfect roast potatoes for Christmas,"Christmas trimmings, sides and sauces",https://www.deliciousmagazine.co.uk/collections/christmas-trimmings-sides-sauces/,Easy,,,,,,,,,
Homemade rye crackers,Snacks and nibbles,https://www.deliciousmagazine.co.uk/collections/snacks-and-nibbles/,Easy,,,,,,,,,
Bounty parfait cheesecake,Cheesecake recipes,https://www.deliciousmagazine.co.uk/collections/cheesecake-recipes/,Easy,,,,,,,,,
Vegan katsu curry,Vegetarian curry recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-curry-recipes/,Medium,,,,,,,,,
Masala cauliflower potatoes,Vegetarian curry recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-curry-recipes/,Easy,,,,,,,,,
Roast purple sprouting broccoli with smashed white beans,Vegetarian starter recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-starter-recipes/,Easy,,,,,,,,,
Root vegetable and lentil tagine,Lentil recipes,https://www.deliciousmagazine.co.uk/collections/lentil-recipes/,Easy,,,,,,,,,
Baked falafel in tomato sauce,Healthy vegetarian recipes,https://www.deliciousmagazine.co.uk/collections/healthy-vegetarian-recipes/,Easy,,,,,,,,,
"Lentil, tomato and paprika soup with crispy kale",Healthy family dinners,https://www.deliciousmagazine.co.uk/collections/healthy-family-dinners/,Easy,,,,,,,,,
Tofu and cauliflower curry,Vegetarian curry recipes,https://www.deliciousmagazine.co.uk/collections/vegetarian-curry-recipes/,Easy,,,,,,,,,
Mango overnight oats,Healthy breakfast recipes,https://www.deliciousmagazine.co.uk/collections/healthy-breakfast-recipes/,Easy,,,,,,,,,
Grilled mango and coconut __annacotta_,Exotic desserts,https://www.deliciousmagazine.co.uk/collections/exotic-desserts/,Easy,Makes 6,"Hands-on time 25 min, plus at least 4 hours chilling",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/pannacotta-768x960.jpg,"This recipe is from Gaz Oakley__ cookbook, Vegan Christmas (Quadrille £15).","400ml tin full-fat coconut milk
35ml vegan rum (optional)
1 vanilla pod, seeds scraped out (or 2 tsp vanilla bean paste)
250ml non-dairy milk
5-6 tbsp coconut honey (see Know-how) or maple syrup to taste
65g cornflour
For the mango dressing
200g ripe mango, peeled and cubed
½ tsp chilli flakes
For the grilled mango
1 tbsp coconut oil, plus extra for greasing
½ ripe mango, peeled and cut into 2.5cm-thick slices
2 tbsp coconut sugar
To serve
Fresh mint leaves, chopped
Coconut flakes, lightly toasted
You__l also need_
6 x 150ml dariole moulds or ramekins, lightly greased with coconut oil and bases lined with non-stick baking paper","400ml tin full-fat coconut milk
35ml vegan rum (optional)
1 vanilla pod, seeds scraped out (or 2 tsp vanilla bean paste)
250ml non-dairy milk
5-6 tbsp coconut honey (see Know-how) or maple syrup to taste
65g cornflour
For the mango dressing
200g ripe mango, peeled and cubed
½ tsp chilli flakes
For the grilled mango
1 tbsp coconut oil, plus extra for greasing
½ ripe mango, peeled and cut into 2.5cm-thick slices
2 tbsp coconut sugar
To serve
Fresh mint leaves, chopped
Coconut flakes, lightly toasted
You__l also need_
6 x 150ml dariole moulds or ramekins, lightly greased with coconut oil and bases lined with non-stick baking paper",Dairy-free recipes,Vegan recipes,
Hasselback potatoes with __heese_ sauce,Potato recipes,https://www.deliciousmagazine.co.uk/collections/potato-recipes/,Easy,Serves 6,"Hands-on time 20 min, oven time 30-35 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/hasselbacks-768x960.jpg,"What__ better than crispy hasselback potatoes? Spuds smothered in a silky cheese sauce, that__ what. And this whole dish is vegan too. You can__ go wrong.","500g baby new potatoes
3 tbsp rapeseed oil
1 tbsp dried rosemary
2 tsp sea salt
1 tsp cracked black pepper
Finely grated zest 1 lemon
1 garlic clove, crushed
Handful fresh chives, chopped, to serve
Handful dried cranberries to serve
For the __heese_ sauce
80g raw cashew nuts, soaked in freshly boiled water for 15 minutes
120ml filtered cold water
120ml cold non-dairy milk
2 tbsp tapioca starch (see Know-how)
3 tbsp nutritional yeast (see Know-how)
1 tsp tahini
1 tsp white miso
Pinch each sea salt and white pepper","500g baby new potatoes
3 tbsp rapeseed oil
1 tbsp dried rosemary
2 tsp sea salt
1 tsp cracked black pepper
Finely grated zest 1 lemon
1 garlic clove, crushed
Handful fresh chives, chopped, to serve
Handful dried cranberries to serve
For the __heese_ sauce
80g raw cashew nuts, soaked in freshly boiled water for 15 minutes
120ml filtered cold water
120ml cold non-dairy milk
2 tbsp tapioca starch (see Know-how)
3 tbsp nutritional yeast (see Know-how)
1 tsp tahini
1 tsp white miso
Pinch each sea salt and white pepper",Dairy-free recipes,Vegan recipes,
Herb-crusted cauliflower and leek __heese_,Cauliflower recipes,https://www.deliciousmagazine.co.uk/collections/cauliflower-recipes/,Easy,Serves 4,"Hands-on time 20 min, oven time 20-25 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/cauli-cheese-768x960.jpg,"Gaz Oakley uses coconut milk, miso and nutritional yeast in his vegan mac ___ cheese for a creamy texture and __heesy_ flavour.","1 large cauliflower, cut into florets
1 leek, sliced into 2cm rounds
For the __heese_ sauce
400ml tin coconut milk
5 tbsp nutritional yeast (see Know-how)
80g raw cashew nuts, soaked in freshly boiled water for 15 minutes
1 banana shallot
1 tbsp white miso paste
6 tbsp non-dairy milk
Juice ½ lemon
1 garlic clove
1 bay leaf
2 fresh thyme sprigs
For the herb topping
100g dried breadcrumbs
Handful fresh flatleaf parsley
2 fresh rosemary sprigs, leaves picked
Handful fresh sage leaves
4 fresh thyme sprigs, leaves picked
3 tbsp rapeseed oil
You__l also need_
15cm x 23cm ovenproof baking dish","1 large cauliflower, cut into florets
1 leek, sliced into 2cm rounds
For the __heese_ sauce
400ml tin coconut milk
5 tbsp nutritional yeast (see Know-how)
80g raw cashew nuts, soaked in freshly boiled water for 15 minutes
1 banana shallot
1 tbsp white miso paste
6 tbsp non-dairy milk
Juice ½ lemon
1 garlic clove
1 bay leaf
2 fresh thyme sprigs
For the herb topping
100g dried breadcrumbs
Handful fresh flatleaf parsley
2 fresh rosemary sprigs, leaves picked
Handful fresh sage leaves
4 fresh thyme sprigs, leaves picked
3 tbsp rapeseed oil
You__l also need_
15cm x 23cm ovenproof baking dish",Dairy-free recipes,Vegan recipes,
Shallot tarte tatin,Savoury tarts,https://www.deliciousmagazine.co.uk/collections/savoury-tarts/,Medium,Serves 4,"Hands-on time 20 min, oven time 25-30 min, plus chilling",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/02/shallot-tarte-tatin-768x960.jpg,"You won__ believe that Gaz Oakley__ shallot tarte tatin is vegan. Sweet shallots are caramelised in brown sugar, balsamic vinegar and brandy until gorgeously sticky. Serve at a dinner party and watch your guests_ jaws drop.","320g vegan puff pastry (we used Jus-Rol)
Plain flour for dusting
4 tbsp rapeseed oil
5-6 banana shallots, peeled, cut in half lengthways and roots trimmed
3 tbsp soft light brown sugar
4 tbsp balsamic vinegar
2 tbsp vegan brandy (optional; see Vegan Drinks Cupboard)
2 fresh thyme sprigs
1 fresh rosemary sprig
½ tsp sea salt flakes
½ tsp cracked black pepper
You__l also need_
25cm non-stick ovenproof, heavy-based frying pan (measured across the top)","320g vegan puff pastry (we used Jus-Rol)
Plain flour for dusting
4 tbsp rapeseed oil
5-6 banana shallots, peeled, cut in half lengthways and roots trimmed
3 tbsp soft light brown sugar
4 tbsp balsamic vinegar
2 tbsp vegan brandy (optional; see Vegan Drinks Cupboard)
2 fresh thyme sprigs
1 fresh rosemary sprig
½ tsp sea salt flakes
½ tsp cracked black pepper
You__l also need_
25cm non-stick ovenproof, heavy-based frying pan (measured across the top)",Dairy-free recipes,Vegan recipes,
Hasselback miso roasted vegetables,Healthy family dinners,https://www.deliciousmagazine.co.uk/collections/healthy-family-dinners/,Easy,Serves 4,"Hands-on time 15 min, cooking time 40-50 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/01/mjso-veg-768x960.jpg,Use up root vegetables in this spectacular hasselback tray bake recipe. We__e used a pouch of pre-cooked Beluga lentils to save you time and this one happens to be vegan too.,"1.1kg mixed root vegetables, trimmed and scrubbed
2 tbsp light olive oil
2 oranges
3 tbsp white miso paste
4 tbsp maple syrup
1 tsp chilli flakes (optional)
3 star anise
2 x 250g pouches cooked lentils (we used Merchant Gourmet beluga lentils
50g toasted nuts, roughly chopped (we used pecans)
100g baby leaf spinach","1.1kg mixed root vegetables, trimmed and scrubbed
2 tbsp light olive oil
2 oranges
3 tbsp white miso paste
4 tbsp maple syrup
1 tsp chilli flakes (optional)
3 star anise
2 x 250g pouches cooked lentils (we used Merchant Gourmet beluga lentils
50g toasted nuts, roughly chopped (we used pecans)
100g baby leaf spinach",Dairy-free recipes,Vegan recipes,
Zuppa di ceci e farro (chickpea and farro...,Soup recipes,https://www.deliciousmagazine.co.uk/collections/soup-recipes/,Medium,Serves 8-10,"Hands-on time 30 min, simmering time 1 hour 50 min to 2 hours 20 min, plus 8 hours soaking",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/01/Chickpea-and-Farro-Soup-768x960.jpg,For 10,"800g dried chickpeas
2-3 fresh sage sprigs
4-5 fresh parsley sprigs
2 fresh rosemary sprigs
3 bay leaves
6 garlic cloves
200g farro
For the soffritto
100ml extra-virgin olive oil
2 garlic cloves, sliced
4 fresh rosemary sprigs, leaves stripped
1 tsp chilli flakes","800g dried chickpeas
2-3 fresh sage sprigs
4-5 fresh parsley sprigs
2 fresh rosemary sprigs
3 bay leaves
6 garlic cloves
200g farro
For the soffritto
100ml extra-virgin olive oil
2 garlic cloves, sliced
4 fresh rosemary sprigs, leaves stripped
1 tsp chilli flakes",Vegan recipes,Vegetarian recipes,
Spiced pumpkin soup,Soup recipes,https://www.deliciousmagazine.co.uk/collections/soup-recipes/,Easy,Serves 4,"Hands-on time 20 min, oven time 1 hour",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/01/pumpkin-soup-768x960.jpg,"Create a showstopper starter by serving this velvety spiced pumpkin soup in a hollowed-out pumpkin. It also makes an excellent lunch, served in bowls, with buttered bread.","1kg pumpkin or squash, cut into 4cm wedges and seeds removed, (see tip)
1 garlic bulb, halved horizontally, plus a couple of cloves to garnish
1 banana shallot, roughly chopped
1 red chilli, roughly chopped
1 tsp ground coriander
1 tsp ground cumin
Small bunch fresh coriander, stalks and leaves (to garnish; optional) separated
Olive oil to drizzle
500ml fresh vegetable stock (or made with a gluten-free stock cube)
160ml tin coconut cream
For the garnish
1 tbsp light olive oil
1 red chilli, finely sliced
1 banana shallot, finely sliced
You__l also need
Hollowed-out pumpkin to serve the soup in (optional)","1kg pumpkin or squash, cut into 4cm wedges and seeds removed, (see tip)
1 garlic bulb, halved horizontally, plus a couple of cloves to garnish
1 banana shallot, roughly chopped
1 red chilli, roughly chopped
1 tsp ground coriander
1 tsp ground cumin
Small bunch fresh coriander, stalks and leaves (to garnish; optional) separated
Olive oil to drizzle
500ml fresh vegetable stock (or made with a gluten-free stock cube)
160ml tin coconut cream
For the garnish
1 tbsp light olive oil
1 red chilli, finely sliced
1 banana shallot, finely sliced
You__l also need
Hollowed-out pumpkin to serve the soup in (optional)",Gluten-free recipes,Vegan recipes,
Vegan Turkish kebabs with chilli sweet potato mash...,Sweet potato recipes,https://www.deliciousmagazine.co.uk/collections/sweet-potato-recipes/,Easy,Serves 4,"Hands-on time 30 min, grilling time 8-10 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/01/kebabs-768x960.jpg,"This meaty favourite has been given a vegan makeover with the use of vegan mince and cannellini beans. Served with sweet potato mash and roasted veg, it makes an impressive midweek meal.","2 sweet potatoes, peeled and cut into 2cm chunks
Oil for drizzling and brushing
1 tbsp aleppo chilli flakes (see tips), plus extra to serve
1 fennel bulb, cut into wedges
4 banana shallots, peeled and halved lengthways
1 tsp za__tar (see tips)
½ x 400g tin cannellini beans, drained and rinsed
For the kebabs
300g vegan mince (we used Ocado Meat Free Mince as it has a good texture for kebabs)
2 tbsp rapeseed oil
2 banana shallots, chopped
2 tsp baharat (see tips)
½ x 400g tin cannellini beans, drained and rinsed
Bunch fresh parsley, chopped
4 tbsp tahini
You__l also need_
8 metal skewers (or wooden ones soaked in cold water for 30 minutes)","2 sweet potatoes, peeled and cut into 2cm chunks
Oil for drizzling and brushing
1 tbsp aleppo chilli flakes (see tips), plus extra to serve
1 fennel bulb, cut into wedges
4 banana shallots, peeled and halved lengthways
1 tsp za__tar (see tips)
½ x 400g tin cannellini beans, drained and rinsed
For the kebabs
300g vegan mince (we used Ocado Meat Free Mince as it has a good texture for kebabs)
2 tbsp rapeseed oil
2 banana shallots, chopped
2 tsp baharat (see tips)
½ x 400g tin cannellini beans, drained and rinsed
Bunch fresh parsley, chopped
4 tbsp tahini
You__l also need_
8 metal skewers (or wooden ones soaked in cold water for 30 minutes)",Dairy-free recipes,Vegan recipes,
"Roast potatoes with polenta, balsamic and thyme","Christmas trimmings, sides and sauces",https://www.deliciousmagazine.co.uk/collections/christmas-trimmings-sides-sauces/,Easy,Serves 8,"Hands-on time 30 min, oven time 1 hour 10-20 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/01/roast-potatoes-polenta-768x960.jpg,"You can make these crispy roast potatoes ahead so that, when the meat has cooked, you can pop the potatoes in the oven while the meat rests.","2kg maris piper potatoes, peeled and cut into large, even chunks
1 tsp salt
7 tbsp light olive oil
3 tbsp polenta
Sea salt flakes
2 tbsp balsamic vinegar
8 unpeeled garlic cloves, lightly bashed with a rolling pin
8-10 fresh thyme sprigs, leaves stripped, plus extra to serve","2kg maris piper potatoes, peeled and cut into large, even chunks
1 tsp salt
7 tbsp light olive oil
3 tbsp polenta
Sea salt flakes
2 tbsp balsamic vinegar
8 unpeeled garlic cloves, lightly bashed with a rolling pin
8-10 fresh thyme sprigs, leaves stripped, plus extra to serve",Vegan recipes,,
Mini Scandi crumble pies,Vegan Christmas recipes,https://www.deliciousmagazine.co.uk/collections/vegan-christmas-recipes/,Easy,Makes 24,"Hands-on time 30 min, oven time 15 min, plus chilling",https://www.deliciousmagazine.co.uk/wp-content/uploads/2019/01/mini-scandi-crumble-pies-768x960.jpg,Per mince pie,"500g block shortcrust pastry (see tip; we used Jus-Rol)
Plain flour to dust
Maple syrup to serve
Edible gold glitter/shimmer (from Sainsbury__ or Waitrose; optional)
For the mincemeat
125g mincemeat (see tip; we used Meridian Organic Mince Pie Filling, which is vegan)
100g tropical mix dried fruit
3 tbsp cherry brandy (see tip)
50g marzipan (see tip), chopped
15g pecan halves, toasted in a dry frying pan and chopped
¼ tsp ground cinnamon
For the crumble
50g marzipan (see tip), grated
30g pecan halves, toasted in a dry frying pan and chopped
20g rolled oats
1 tsp demerara sugar
Pinch ground cinnamon
You__l also need_
4-5cm plain or fluted cutter
a 24-hole mini bun/muffin tray (we used KitchenCraft, from amazon.co.uk)","500g block shortcrust pastry (see tip; we used Jus-Rol)
Plain flour to dust
Maple syrup to serve
Edible gold glitter/shimmer (from Sainsbury__ or Waitrose; optional)
For the mincemeat
125g mincemeat (see tip; we used Meridian Organic Mince Pie Filling, which is vegan)
100g tropical mix dried fruit
3 tbsp cherry brandy (see tip)
50g marzipan (see tip), chopped
15g pecan halves, toasted in a dry frying pan and chopped
¼ tsp ground cinnamon
For the crumble
50g marzipan (see tip), grated
30g pecan halves, toasted in a dry frying pan and chopped
20g rolled oats
1 tsp demerara sugar
Pinch ground cinnamon
You__l also need_
4-5cm plain or fluted cutter
a 24-hole mini bun/muffin tray (we used KitchenCraft, from amazon.co.uk)",Vegan recipes,,
"Vegan miso mushroom, squash and chestnut wellington",Vegan Christmas recipes,https://www.deliciousmagazine.co.uk/collections/vegan-christmas-recipes/,Medium,Serves 6,"Hands-on time 40 min, oven time 1 hour 7-25 min, plus chilling",https://www.deliciousmagazine.co.uk/wp-content/uploads/2018/12/vegan-wellington-768x960.jpg,"This vegan wellington makes a standout centrepiece whatever the occasion. A mixture of miso mushrooms, sweet butternut and chestnuts are roasted until sweet, stirred through prunes, madeira and breadcrumbs and then baked in vegan puff pastry.","1 butternut squash (about 800g), peeled and deseeded
Olive oil for drizzling and brushing
600g portobellini or chestnut mushrooms, roughly chopped
50g walnut halves, chopped
180g bag vacuum-packed whole chestnuts, roughly chopped
Large handful fresh flatleaf parsley, stalks and leaves chopped separately
3 fresh thyme sprigs, leaves picked
2 tbsp miso paste (see Know-how)
4 fat garlic cloves, crushed
3 soft pitted prunes, finely chopped
3 tbsp madeira (check the label to make sure it__ vegan)
2 tbsp chopped chives
¼ tsp soy sauce, plus a splash
6 tbsp panko breadcrumbs
500g block puff pastry (check the label to make sure it__ vegan _ we used Jus-Rol)
Plain flour for dusting
Sea salt flakes
Large pinch poppy seeds","1 butternut squash (about 800g), peeled and deseeded
Olive oil for drizzling and brushing
600g portobellini or chestnut mushrooms, roughly chopped
50g walnut halves, chopped
180g bag vacuum-packed whole chestnuts, roughly chopped
Large handful fresh flatleaf parsley, stalks and leaves chopped separately
3 fresh thyme sprigs, leaves picked
2 tbsp miso paste (see Know-how)
4 fat garlic cloves, crushed
3 soft pitted prunes, finely chopped
3 tbsp madeira (check the label to make sure it__ vegan)
2 tbsp chopped chives
¼ tsp soy sauce, plus a splash
6 tbsp panko breadcrumbs
500g block puff pastry (check the label to make sure it__ vegan _ we used Jus-Rol)
Plain flour for dusting
Sea salt flakes
Large pinch poppy seeds",Dairy-free recipes,Vegan recipes,
Miso and maple aubergine __teak_ burger,Burger recipes,https://www.deliciousmagazine.co.uk/collections/burger-recipes/,Easy,Serves 2,"Hands-on time 25 min, oven time 20 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2018/11/veggie-burger-768x960.jpg,A quick miso marinade gives an umami-rich flavour to aubergine __teaks_ to replace traditional beef in this meat-free burger _ and it happens to be vegan,"2 tbsp white miso paste (from Waitrose, Ocado and Amazon)
1 tbsp maple syrup
1 tbsp dark soy sauce
1 large aubergine
2 medium onions, cut into wedges
2 tbsp vegan mayonnaise
Grated zest and juice ½ lime
1 tbsp sriracha sauce
2 burger buns, split in half
Salad (we used an Asian herb/salad mix but you could use a combination of coriander and pea shoots) and a few salted peanuts (optional) to serve","2 tbsp white miso paste (from Waitrose, Ocado and Amazon)
1 tbsp maple syrup
1 tbsp dark soy sauce
1 large aubergine
2 medium onions, cut into wedges
2 tbsp vegan mayonnaise
Grated zest and juice ½ lime
1 tbsp sriracha sauce
2 burger buns, split in half
Salad (we used an Asian herb/salad mix but you could use a combination of coriander and pea shoots) and a few salted peanuts (optional) to serve",Dairy-free recipes,Vegan recipes,
Peanut sauce,Peanut butter recipes,https://www.deliciousmagazine.co.uk/collections/peanut-butter-recipes/,Easy,Serves 4-8,"Hands-on time 45 min, simmering time 75-90 min",https://www.deliciousmagazine.co.uk/wp-content/uploads/2018/11/peanut-sauce-768x960.jpg,For 8,"1 tbsp groundnut oil
1 medium onion, finely chopped
½ tbsp curry powder
½ tbsp extra-hot chilli powder
1 garlic clove, crushed
5cm piece fresh ginger, grated
1 red scotch bonnet chilli, pierced with a sharp knife
3 tbsp roasted peanuts, crushed
2 tsp sea salt flakes, crushed
150ml fresh vegetable stock
150g peanut butter
For the chale_ sauce
400g tin chopped tomatoes
2 tbsp tomato pure_e
1 medium onion, roughly chopped
5cm piece fresh ginger, grated
1 red scotch bonnet chilli, deseeded
1 tbsp chilli flakes (see tip)
1 tsp crushed sea salt
You__l also need_
Blender or food processor","1 tbsp groundnut oil
1 medium onion, finely chopped
½ tbsp curry powder
½ tbsp extra-hot chilli powder
1 garlic clove, crushed
5cm piece fresh ginger, grated
1 red scotch bonnet chilli, pierced with a sharp knife
3 tbsp roasted peanuts, crushed
2 tsp sea salt flakes, crushed
150ml fresh vegetable stock
150g peanut butter
For the chale_ sauce
400g tin chopped tomatoes
2 tbsp tomato pure_e
1 medium onion, roughly chopped
5cm piece fresh ginger, grated
1 red scotch bonnet chilli, deseeded
1 tbsp chilli flakes (see tip)
1 tsp crushed sea salt
You__l also need_
Blender or food processor",Dairy-free recipes,Vegan recipes,
Koose black-eyed bean fritters with scotch bonnet salsa,Fritter recipes,https://www.deliciousmagazine.co.uk/collections/fritter-recipes/,Easy,Serves 4-6,Hands-on time 1 hour,https://www.deliciousmagazine.co.uk/wp-content/uploads/2018/11/fritters-768x960.jpg,For 6,"250g dried black-eyed beans
1 tbsp cornflour, plus extra to dust (see Zoe__ tip)
2 tsp cayenne pepper
1 tsp sea salt
1 tbsp rapeseed oil
½ red onion, very finely chopped
2 fresh red chillies, very finely sliced
4 fingers fresh okra, very finely chopped
500ml vegetable oil to deep fry
For the scotch bonnet salsa
500g mixed heritage tomatoes, thinly sliced or quartered if small
1 medium red onion, finely chopped
1 scotch bonnet chilli, deseeded and finely diced
Handful fresh coriander, chopped
1/2 tsp cayenne pepper
Juice 1 lemon, plus extra slices to garnish
Good to have_
Digital probe thermometer","250g dried black-eyed beans
1 tbsp cornflour, plus extra to dust (see Zoe__ tip)
2 tsp cayenne pepper
1 tsp sea salt
1 tbsp rapeseed oil
½ red onion, very finely chopped
2 fresh red chillies, very finely sliced
4 fingers fresh okra, very finely chopped
500ml vegetable oil to deep fry
For the scotch bonnet salsa
500g mixed heritage tomatoes, thinly sliced or quartered if small
1 medium red onion, finely chopped
1 scotch bonnet chilli, deseeded and finely diced
Handful fresh coriander, chopped
1/2 tsp cayenne pepper
Juice 1 lemon, plus extra slices to garnish
Good to have_
Digital probe thermometer",Dairy-free recipes,Vegan recipes,
Super green pasta,Midweek meal recipes,https://www.deliciousmagazine.co.uk/collections/midweek-meal-recipes/,Easy,Serves 6,Hands-on time 20 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2018/10/pasta-768x960.jpg,"Who knew that a pot of houmous could make such a fabulous, quick and creamy pasta sauce? We did. Whizz all the ingredients together until silky smooth, then stir through penne pasta for an easy midweek meal.","500g penne pasta
200g pot of houmous
1 avocado, roughly chopped
1 courgette, roughly chopped
200ml light coconut milk
100g defrosted frozen peas
Finely grated zest and juice of ½ lemon
The leaves of 5-6 fresh mint sprigs
Extra squeeze of lemon, lemon zest, black pepper, a few torn mint leaves and sea salt flakes, to serve","500g penne pasta
200g pot of houmous
1 avocado, roughly chopped
1 courgette, roughly chopped
200ml light coconut milk
100g defrosted frozen peas
Finely grated zest and juice of ½ lemon
The leaves of 5-6 fresh mint sprigs
Extra squeeze of lemon, lemon zest, black pepper, a few torn mint leaves and sea salt flakes, to serve",Dairy-free recipes,Vegan recipes,Vegetarian recipes
Vietnamese-style crispy tofu bowl,Midweek meal recipes,https://www.deliciousmagazine.co.uk/collections/midweek-meal-recipes/,Easy,Serves 4,Hands-on time 30 min,https://www.deliciousmagazine.co.uk/wp-content/uploads/2018/10/vietnamese-recieps-768x960.jpg,Crispy nuggets of tofu are served with chilli rice noodles and plenty of veg in this clean-tasting Vietnamese-inspired bowlful.,"125g rice noodles
2 tbsp chilli sauce of your choice
Finely grated zest and juice 1 lime
1 banana shallot, sliced into rings
2 tbsp cornflour
½ tsp flaked sea salt
½ tsp freshly ground black pepper
280g block extra-firm tofu, cut into 0.5cm slices
1 tbsp vegetable oil
1 carrot, sliced into thin strips (use a julienne peeler, if you have one)
¼ cucumber, sliced into thin strips
Small handful fresh mint leaves
Small handful toasted peanuts","125g rice noodles
2 tbsp chilli sauce of your choice
Finely grated zest and juice 1 lime
1 banana shallot, sliced into rings
2 tbsp cornflour
½ tsp flaked sea salt
½ tsp freshly ground black pepper
280g block extra-firm tofu, cut into 0.5cm slices
1 tbsp vegetable oil
1 carrot, sliced into thin strips (use a julienne peeler, if you have one)
¼ cucumber, sliced into thin strips
Small handful fresh mint leaves
Small handful toasted peanuts",Dairy-free recipes,Vegan recipes,
